date,temperature_celsius,rainfall_mm,weather_condition
2024-12-02,30.1,0.0,Normal
2024-12-03,27.7,0.0,Normal
2024-12-04,33.7,3.5,Rainy
2024-12-05,27.1,4.0,Rainy
2024-12-06,30.4,0.0,Normal
2024-12-07,28.6,0.0,Normal
2024-12-08,37.8,0.0,Extreme Hot
2024-12-09,31.6,4.9,Rainy
2024-12-10,25.9,0.0,Normal
2024-12-11,25.1,0.0,Normal
2024-12-12,31.3,0.0,Normal
2024-12-13,38.4,0.0,Extreme Hot
2024-12-14,28.4,0.0,Normal
2024-12-15,34.5,0.0,Normal
2024-12-16,28.8,2.5,Normal
2024-12-17,32.7,0.0,Normal
2024-12-18,25.6,0.0,Normal
2024-12-19,31.2,0.0,Normal
2024-12-20,25.7,15.9,Rainy
2024-12-21,36.1,1.1,Extreme Hot
2024-12-22,38.4,0.0,Extreme Hot
2024-12-23,38.3,5.0,Rainy
2024-12-24,38.7,0.0,Extreme Hot
2024-12-25,28.6,0.0,Normal
2024-12-26,33.3,0.0,Normal
2024-12-27,33.7,0.8,Normal
2024-12-28,36.1,11.5,Rainy
2024-12-29,38.4,0.0,Extreme Hot
2024-12-30,38.7,0.7,Extreme Hot
2024-12-31,31.7,1.1,Normal
